Data,TDS_mgL,t_anos,doy,vazao_mgd_TDS,vazao_mgd_Chloride,wrtds_fitted_log,wrtds_flow_normalized_log,wrtds_fitted_mgL,wrtds_flow_normalized_mgL,n_efetivo_peso
2019-08-31,608,8.503764544832306,243,6.419995582481383,6.420318290821888,6.581242859686289,6.530958767927298,721.4354152731181,686.0556644364502,54.93336177717691
2019-09-30,614,8.58590006844627,273,8.325912559854396,8.325894029302106,6.548660310391403,6.535888012199399,698.3080308728521,689.4457488034927,55.2291429127005
2019-10-31,644,8.670773442847365,304,9.12834949431759,9.128016735547732,6.547782625567514,6.548876086315881,697.6954053971234,698.4587251913019,55.20163194796055
2019-11-30,618,8.752908966461328,334,8.72719300287925,8.727048212176529,6.567558461457103,6.562039844489931,711.630247674359,707.7138494056892,55.617217438689465
2019-12-31,642,8.837782340862423,365,12.438647213070665,12.43871145122119,6.521936776889716,6.567685138337537,679.8939138053706,711.7204004841748,54.6533908217885
2020-01-31,614,8.922655715263518,31,11.937095274920129,11.93740659646196,6.527203319447022,6.568423134647565,683.4840495400589,712.2458413763758,55.42559416474986
2020-02-29,684,9.00205338809035,60,10.432355869690214,10.432542854605204,6.542977719279774,6.563795226528924,694.3510853632083,708.9572485866971,55.90710745189688
2020-03-31,706,9.086926762491444,91,10.031181853384147,10.030901453333977,6.542936646212178,6.557303854106712,694.3225668198199,704.3700477770213,55.63901529247091
2020-04-30,698,9.169062286105408,121,15.347721822541969,15.347721822541969,6.4748954041802635,6.54826123124261,648.6513778399503,698.0294062986228,50.222019185125816
2020-05-31,694,9.253935660506503,152,9.32902093310942,9.329203304023448,6.531974869117459,6.535736911768181,686.7531206966609,689.3415811236362,54.84857280465799
2020-06-30,760,9.336071184120465,182,6.419916698220371,6.419729081599585,6.569971757010827,6.524342259330067,713.349695720625,681.5313553051511,54.54167605213042
2020-07-31,736,9.42094455852156,213,6.419918413095611,6.420169986459812,6.563650316057249,6.5167171347478465,708.8545207007596,676.3543565282022,54.67006555368084
2020-08-31,760,9.505817932922655,244,6.119052126719677,6.119104716227018,6.5698018409034775,6.514146331147583,713.228496414298,674.617815422853,54.45409315278168
2020-09-30,726,9.587953456536619,274,10.63298121833112,10.633385183744895,6.4970130818692295,6.520306270580582,663.1578735795197,678.7862457646324,53.00715870421517
2020-10-31,668,9.672826830937714,305,6.821249587156622,6.8214041905162,6.574805128795042,6.535206855499969,716.8059259063764,688.9762881190986,54.69076545719258
2020-11-30,750,9.754962354551678,335,8.32581934452438,8.325547354324334,6.560607845103666,6.549125468847888,706.701128888328,698.6329303176475,55.17799916768326
2020-12-31,722,9.839835728952773,366,9.128320612208295,9.128389596015497,6.556028710864673,6.556980560222253,703.4724474768068,704.1423660542165,55.38849413854024
2021-01-31,734,9.924709103353868,31,10.33217023111756,10.331734612310152,6.542242818181628,6.559991104898687,693.8409934445892,706.2654122650292,55.306161630338536
2021-02-28,752,10.001368925393566,59,10.733328231032194,11.134425792699174,6.535015023833872,6.558193027327476,688.8441333259898,704.9966332912603,55.062891708586214
2021-03-31,612,10.08624229979466,90,8.125264494286924,8.125374700239808,6.5678412398668575,6.553182818793855,711.8315097990804,701.4732868634457,54.758425653759026
2021-04-30,740,10.168377823408624,120,8.927668675870116,8.927692283259486,6.54559719658035,6.543591433047836,696.1723065523463,694.7773489727084,54.248742812259316
2021-05-31,756,10.25325119780972,151,6.419943410351085,6.420169986459812,6.571727768512321,6.527508106376055,714.6034464690954,683.6923982939368,53.169467458538726
2021-06-30,748,10.335386721423683,181,6.319650162223163,6.319548677604679,6.559672558191475,6.513468791451096,706.0404695728135,674.1608898830222,53.02143818160025
2021-07-31,776,10.420260095824778,212,3.811898934460679,3.811496257539424,6.618423466985374,6.503154820457888,748.7637153954573,667.2433490007519,46.438519738385324
